Species_1	Protein_1	Species_2	Protein_2	E-value	Weight	Relationship
UP000000803_7227.fasta	sp|Q9VK45|TOR_DROME	UP000000589_10090.fasta	sp|Q9JLN9|MTOR_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VL64|Q9VL64_DROME	UP000000589_10090.fasta	sp|Q9JKV2|ICK_MOUSE	9.42528514158e-153	1.0453549447	Ortholog
UP000000803_7227.fasta	tr|Q9VMN3|Q9VMN3_DROME	UP000000589_10090.fasta	sp|Q8CEQ0|CDKL1_MOUSE	2.52820094138e-148	1.01490369816	Ortholog
UP000000803_7227.fasta	tr|Q9VMT1|Q9VMT1_DROME	UP000000589_10090.fasta	sp|P36898|BMR1B_MOUSE	1.68680763574e-170	1.16738794869	Ortholog
UP000000803_7227.fasta	tr|Q9VMY8|Q9VMY8_DROME	UP000000589_10090.fasta	sp|Q99KY4|GAK_MOUSE	2.1872585581e-171	1.17348825107	Ortholog
UP000000803_7227.fasta	tr|Q9VN23|Q9VN23_DROME	UP000000589_10090.fasta	sp|Q9JJX8|ST32B_MOUSE	2.20923063531e-139	0.953420888546	Ortholog
UP000000803_7227.fasta	tr|Q9VND3|Q9VND3_DROME	UP000000589_10090.fasta	sp|Q8CBQ5|P4K2B_MOUSE	4.15518952636e-129	0.882772689208	Ortholog
UP000000803_7227.fasta	sp|Q9VP22|CDK12_DROME	UP000000589_10090.fasta	sp|Q69ZA1|CDK13_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q9VPC0|KP58_DROME	UP000000589_10090.fasta	sp|P24788|CD11B_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VPR6|Q9VPR6_DROME	UP000000589_10090.fasta	sp|Q7TT16|IPMK_MOUSE	2.84292103302e-32	0.216917348599	Ortholog
UP000000803_7227.fasta	tr|Q9VPW3|Q9VPW3_DROME	UP000000589_10090.fasta	sp|Q8BHI9|NIM1_MOUSE	1.09659928871e-98	0.673589508492	Ortholog
UP000000803_7227.fasta	tr|Q9VR42|Q9VR42_DROME	UP000000589_10090.fasta	sp|Q9DBU3|RIOK3_MOUSE	1.1903780912e-124	0.852124942316	Ortholog
UP000000803_7227.fasta	tr|Q9VR61|Q9VR61_DROME	UP000000589_10090.fasta	sp|Q9WUT3|KS6A2_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VRJ6|Q9VRJ6_DROME	UP000000589_10090.fasta	sp|Q99PW4|PRPK_MOUSE	2.17887585695e-66	0.451501626786	Ortholog
UP000000803_7227.fasta	sp|Q9VT57|CDK8_DROME	UP000000589_10090.fasta	sp|Q8R3L8|CDK8_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VTG5|Q9VTG5_DROME	UP000000589_10090.fasta	sp|Q80V03|ADCK5_MOUSE	5.16526862806e-131	0.895875221253	Ortholog
UP000000803_7227.fasta	tr|Q9VTL5|Q9VTL5_DROME	UP000000589_10090.fasta	sp|Q922Q2|RIOK1_MOUSE	4.333589736e-154	1.05455145867	Ortholog
UP000000803_7227.fasta	tr|Q9VUQ9|Q9VUQ9_DROME	UP000000589_10090.fasta	sp|Q9R1L5|MAST1_MOUSE	2.55532776763e-165	1.13176675598	Ortholog
UP000000803_7227.fasta	tr|Q9VUV4|Q9VUV4_DROME	UP000000589_10090.fasta	sp|Q69Z98|BRSK2_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VW24|Q9VW24_DROME	UP000000589_10090.fasta	sp|Q60700|M3K12_MOUSE	9.07766489798e-173	1.18299061219	Ortholog
UP000000803_7227.fasta	tr|Q9VX24|Q9VX24_DROME	UP000000589_10090.fasta	sp|Q9JJ78|TOPK_MOUSE	2.86911136068e-62	0.423175132424	Ortholog
UP000000803_7227.fasta	tr|Q9VXE3|Q9VXE3_DROME	UP000000589_10090.fasta	sp|P70336|ROCK2_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q9VXE5|PAKM_DROME	UP000000589_10090.fasta	sp|Q8C015|PAK5_MOUSE	5.72747762981e-177	1.21187060973	Ortholog
UP000000803_7227.fasta	sp|Q9VXG8|ATR_DROME	UP000000589_10090.fasta	sp|Q9JKK8|ATR_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VYI6|Q9VYI6_DROME	UP000000589_10090.fasta	sp|Q60936|COQ8A_MOUSE	7.37780455149e-166	1.1354765848	Ortholog
UP000000803_7227.fasta	tr|Q9VZI2|Q9VZI2_DROME	UP000000589_10090.fasta	sp|O54967|ACK1_MOUSE	9.78488630491e-170	1.16213805835	Ortholog
UP000000803_7227.fasta	tr|Q9W002|Q9W002_DROME	UP000000589_10090.fasta	sp|P83510|TNIK_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9W0Q1|Q9W0Q1_DROME	UP000000589_10090.fasta	sp|Q9QZR5|HIPK2_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q9W0V1|PDPK1_DROME	UP000000589_10090.fasta	sp|Q9Z2A0|PDPK1_MOUSE	1.4226735395e-83	0.569669522593	Ortholog
UP000000803_7227.fasta	sp|Q9W133|ADCK_DROME	UP000000589_10090.fasta	sp|Q9D0L4|ADCK1_MOUSE	5.90669112109e-165	1.12926453306	Ortholog
UP000000803_7227.fasta	tr|Q9W179|Q9W179_DROME	UP000000589_10090.fasta	sp|O54988|SLK_MOUSE	5.1152712538e-128	0.87527575099	Ortholog
UP000000803_7227.fasta	sp|Q9W1B0|GEK_DROME	UP000000589_10090.fasta	sp|Q3UU96|MRCKA_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9W1M7|Q9W1M7_DROME	UP000000589_10090.fasta	sp|Q6PF93|PK3C3_MOUSE	4.01248052955e-190	1.30232356521	Ortholog
UP000000803_7227.fasta	tr|Q9W2E9|Q9W2E9_DROME	UP000000589_10090.fasta	sp|Q8BWD2|IP6K3_MOUSE	1.2742056349e-58	0.398094348179	Ortholog
UP000000803_7227.fasta	sp|Q9W2Q7|IPPK_DROME	UP000000589_10090.fasta	sp|Q6P1C1|IPPK_MOUSE	4.85391594488e-18	0.119053412824	Ortholog
UP000000803_7227.fasta	sp|Q9W354|ERK7_DROME	UP000000589_10090.fasta	sp|Q80Y86|MK15_MOUSE	6.21466008725e-116	0.792180311913	Ortholog
UP000000803_7227.fasta	tr|Q9W3N8|Q9W3N8_DROME	UP000000589_10090.fasta	sp|O35942|NEK2_MOUSE	1.09398354649e-93	0.639215778761	Ortholog
UP000000803_7227.fasta	tr|Q9W4F8|Q9W4F8_DROME	UP000000589_10090.fasta	sp|Q8BM85|TBCK_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9W532|Q9W532_DROME	UP000000589_10090.fasta	sp|Q8CFH6|SIK2_MOUSE	2.86942502951e-154	1.05578265734	Ortholog
UP000000803_7227.fasta	sp|Q9Y0Y6|NRBP_DROME	UP000000589_10090.fasta	sp|Q99J45|NRBP_MOUSE	3.70135110466e-187	1.28193607641	Ortholog
UP000000803_7227.fasta	tr|X2JAG8|X2JAG8_DROME	UP000000589_10090.fasta	sp|Q61136|PRP4B_MOUSE	1e-200	1.37523445952	Ortholog
UP000005640_9606.fasta	sp|A2RU49|HYKK_HUMAN	UP000000589_10090.fasta	sp|Q5U5V2|HYKK_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|A2RU49|HYKK_HUMAN	UP000000803_7227.fasta	tr|Q9VJ68|Q9VJ68_DROME	8.40687218887e-63	0.438663413996	Ortholog
UP000005640_9606.fasta	sp|O00141|SGK1_HUMAN	UP000000589_10090.fasta	sp|Q9WVC6|SGK1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O00238|BMR1B_HUMAN	UP000000589_10090.fasta	sp|P36898|BMR1B_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O00238|BMR1B_HUMAN	UP000000803_7227.fasta	tr|Q9VMT1|Q9VMT1_DROME	4.55499725576e-170	1.19667319021	Ortholog
UP000005640_9606.fasta	sp|O00311|CDC7_HUMAN	UP000000589_10090.fasta	sp|Q9Z0H0|CDC7_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O00311|CDC7_HUMAN	UP000000803_7227.fasta	tr|Q9VJ90|Q9VJ90_DROME	1.44067692423e-88	0.620742587996	Ortholog
UP000005640_9606.fasta	sp|O00329|PK3CD_HUMAN	UP000000589_10090.fasta	sp|O35904|PK3CD_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O00329|PK3CD_HUMAN	UP000000803_7227.fasta	tr|P91634|P91634_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|O00418|EF2K_HUMAN	UP000000589_10090.fasta	sp|O08796|EF2K_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O00443|P3C2A_HUMAN	UP000000589_10090.fasta	sp|Q61194|P3C2A_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O00443|P3C2A_HUMAN	UP000000803_7227.fasta	tr|Q7K3H0|Q7K3H0_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|O00444|PLK4_HUMAN	UP000000589_10090.fasta	sp|Q64702|PLK4_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O00444|PLK4_HUMAN	UP000000803_7227.fasta	sp|O97143|PLK4_DROME	1.82130722285e-115	0.810821999542	Ortholog
UP000005640_9606.fasta	sp|O00506|STK25_HUMAN	UP000000589_10090.fasta	sp|Q9Z2W1|STK25_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O00750|P3C2B_HUMAN	UP000000589_10090.fasta	tr|E9QAN8|E9QAN8_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O14578|CTRO_HUMAN	UP000000589_10090.fasta	sp|P49025|CTRO_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O14578|CTRO_HUMAN	UP000000803_7227.fasta	tr|M9PI41|M9PI41_DROME	2.62716577322e-127	0.894497185347	Ortholog
UP000005640_9606.fasta	sp|O14730|RIOK3_HUMAN	UP000000589_10090.fasta	sp|Q9DBU3|RIOK3_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O14730|RIOK3_HUMAN	UP000000803_7227.fasta	tr|Q9VR42|Q9VR42_DROME	9.35692257102e-124	0.869399033255	Ortholog
UP000005640_9606.fasta	sp|O14733|MP2K7_HUMAN	UP000000589_10090.fasta	sp|Q8CE90|MP2K7_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O14733|MP2K7_HUMAN	UP000000803_7227.fasta	sp|Q23977|HEP_DROME	7.5524830354e-140	0.98312255695	Ortholog
UP000005640_9606.fasta	sp|O14757|CHK1_HUMAN	UP000000589_10090.fasta	sp|O35280|CHK1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O14757|CHK1_HUMAN	UP000000803_7227.fasta	sp|O61661|CHK1_DROME	1.99607114102e-152	1.07200597365	Ortholog
UP000005640_9606.fasta	sp|O14920|IKKB_HUMAN	UP000000589_10090.fasta	sp|O88351|IKKB_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O14920|IKKB_HUMAN	UP000000803_7227.fasta	sp|Q9VEZ5|IKKB_DROME	5.13497809148e-53	0.369510085857	Ortholog
UP000005640_9606.fasta	sp|O14936|CSKP_HUMAN	UP000000589_10090.fasta	sp|O70589|CSKP_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O14936|CSKP_HUMAN	UP000000803_7227.fasta	sp|Q24210|CSKP_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|O14965|AURKA_HUMAN	UP000000589_10090.fasta	sp|P97477|AURKA_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O14965|AURKA_HUMAN	UP000000803_7227.fasta	tr|Q9VGF9|Q9VGF9_DROME	1.80493767205e-126	0.88858259765	Ortholog
UP000005640_9606.fasta	sp|O14976|GAK_HUMAN	UP000000589_10090.fasta	sp|Q99KY4|GAK_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O14976|GAK_HUMAN	UP000000803_7227.fasta	tr|Q9VMY8|Q9VMY8_DROME	1.36436798555e-175	1.23570610083	Ortholog
UP000005640_9606.fasta	sp|O14986|PI51B_HUMAN	UP000000589_10090.fasta	sp|P70181|PI51B_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O15021|MAST4_HUMAN	UP000000589_10090.fasta	sp|Q811L6|MAST4_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O15075|DCLK1_HUMAN	UP000000589_10090.fasta	sp|Q9JLM8|DCLK1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O15111|IKKA_HUMAN	UP000000589_10090.fasta	sp|Q60680|IKKA_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O15146|MUSK_HUMAN	UP000000589_10090.fasta	sp|Q61006|MUSK_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O15146|MUSK_HUMAN	UP000000803_7227.fasta	sp|Q9V6K3|ROR2_DROME	6.22996789719e-122	0.856514080501	Ortholog
UP000005640_9606.fasta	sp|O15197|EPHB6_HUMAN	UP000000589_10090.fasta	sp|O08644|EPHB6_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O15264|MK13_HUMAN	UP000000589_10090.fasta	sp|Q9Z1B7|MK13_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O15530|PDPK1_HUMAN	UP000000589_10090.fasta	sp|Q9Z2A0|PDPK1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O15530|PDPK1_HUMAN	UP000000803_7227.fasta	sp|Q9W0V1|PDPK1_DROME	1.15887445394e-84	0.593144092268	Ortholog
UP000005640_9606.fasta	sp|O43187|IRAK2_HUMAN	UP000000589_10090.fasta	sp|Q8CFA1|IRAK2_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O43283|M3K13_HUMAN	UP000000589_10090.fasta	sp|Q1HKZ5|M3K13_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O43293|DAPK3_HUMAN	UP000000589_10090.fasta	sp|O54784|DAPK3_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O43318|M3K7_HUMAN	UP000000589_10090.fasta	sp|Q62073|M3K7_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O43318|M3K7_HUMAN	UP000000803_7227.fasta	sp|Q9V3Q6|M3K7_DROME	5.72048074903e-106	0.743709900568	Ortholog
UP000005640_9606.fasta	sp|O43353|RIPK2_HUMAN	UP000000589_10090.fasta	sp|P58801|RIPK2_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O43683|BUB1_HUMAN	UP000000589_10090.fasta	sp|O08901|BUB1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O43683|BUB1_HUMAN	UP000000803_7227.fasta	tr|A1Z6I7|A1Z6I7_DROME	1.82901612896e-45	0.316145192462	Ortholog
UP000005640_9606.fasta	sp|O43781|DYRK3_HUMAN	UP000000589_10090.fasta	sp|Q922Y0|DYRK3_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O60229|KALRN_HUMAN	UP000000589_10090.fasta	sp|A2CG49|KALRN_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O60285|NUAK1_HUMAN	UP000000589_10090.fasta	sp|Q641K5|NUAK1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O60285|NUAK1_HUMAN	UP000000803_7227.fasta	tr|A0A0B4KFP5|A0A0B4KFP5_DROME	1.02825094213e-113	0.798443277759	Ortholog
UP000005640_9606.fasta	sp|O60307|MAST3_HUMAN	UP000000589_10090.fasta	sp|Q3U214|MAST3_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O60331|PI51C_HUMAN	UP000000589_10090.fasta	sp|O70161|PI51C_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O60566|BUB1B_HUMAN	UP000000589_10090.fasta	sp|Q9Z1S0|BUB1B_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O60674|JAK2_HUMAN	UP000000589_10090.fasta	sp|Q62120|JAK2_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O60674|JAK2_HUMAN	UP000000803_7227.fasta	sp|Q24592|JAK_DROME	5.59481903193e-65	0.454046388271	Ortholog
UP000005640_9606.fasta	sp|O75063|XYLK_HUMAN	UP000000589_10090.fasta	sp|Q8VCS3|XYLK_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O75063|XYLK_HUMAN	UP000000803_7227.fasta	sp|Q95T10|XYLK_DROME	5.57435198028e-85	0.595390162932	Ortholog
UP000005640_9606.fasta	sp|O75116|ROCK2_HUMAN	UP000000589_10090.fasta	sp|P70336|ROCK2_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O75116|ROCK2_HUMAN	UP000000803_7227.fasta	tr|Q9VXE3|Q9VXE3_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|O75385|ULK1_HUMAN	UP000000589_10090.fasta	sp|O70405|ULK1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O75385|ULK1_HUMAN	UP000000803_7227.fasta	tr|Q8MQJ7|Q8MQJ7_DROME	2.75592089872e-110	0.774217698034	Ortholog
UP000005640_9606.fasta	sp|O75460|ERN1_HUMAN	UP000000589_10090.fasta	sp|Q9EQY0|ERN1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O75582|KS6A5_HUMAN	UP000000803_7227.fasta	sp|Q9V3I5|JIL1_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|O75676|KS6A4_HUMAN	UP000000589_10090.fasta	sp|Q9Z2B9|KS6A4_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O75716|STK16_HUMAN	UP000000589_10090.fasta	sp|O88697|STK16_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O75716|STK16_HUMAN	UP000000803_7227.fasta	tr|Q9VI84|Q9VI84_DROME	9.74728680198e-77	0.537142157117	Ortholog
UP000005640_9606.fasta	sp|O75747|P3C2G_HUMAN	UP000000589_10090.fasta	sp|O70167|P3C2G_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O75914|PAK3_HUMAN	UP000000589_10090.fasta	sp|Q61036|PAK3_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O75962|TRIO_HUMAN	UP000000589_10090.fasta	sp|Q0KL02|TRIO_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O75962|TRIO_HUMAN	UP000000803_7227.fasta	tr|Q7KVD1|Q7KVD1_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|O76039|CDKL5_HUMAN	UP000000589_10090.fasta	sp|Q3UTQ8|CDKL5_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O94768|ST17B_HUMAN	UP000000589_10090.fasta	sp|Q8BG48|ST17B_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O94804|STK10_HUMAN	UP000000589_10090.fasta	sp|O55098|STK10_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O94806|KPCD3_HUMAN	UP000000589_10090.fasta	sp|Q8K1Y2|KPCD3_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O94921|CDK14_HUMAN	UP000000589_10090.fasta	sp|O35495|CDK14_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O94921|CDK14_HUMAN	UP000000803_7227.fasta	tr|M9PE01|M9PE01_DROME	1.08581766425e-155	1.09507440377	Ortholog
UP000005640_9606.fasta	sp|O95382|M3K6_HUMAN	UP000000589_10090.fasta	sp|Q9WTR2|M3K6_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O95747|OXSR1_HUMAN	UP000000589_10090.fasta	sp|Q6P9R2|OXSR1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O95747|OXSR1_HUMAN	UP000000803_7227.fasta	tr|Q7KSD3|Q7KSD3_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|O95819|M4K4_HUMAN	UP000000589_10090.fasta	sp|P97820|M4K4_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O95835|LATS1_HUMAN	UP000000589_10090.fasta	sp|Q8BYR2|LATS1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O95835|LATS1_HUMAN	UP000000803_7227.fasta	sp|Q9VA38|WARTS_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|O96013|PAK4_HUMAN	UP000000589_10090.fasta	sp|Q8BTW9|PAK4_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O96017|CHK2_HUMAN	UP000000589_10090.fasta	sp|Q9Z265|CHK2_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|O96017|CHK2_HUMAN	UP000000803_7227.fasta	sp|O61267|LOK_DROME	9.65758769052e-99	0.692636309947	Ortholog
UP000005640_9606.fasta	sp|P00519|ABL1_HUMAN	UP000000589_10090.fasta	sp|P00520|ABL1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P00519|ABL1_HUMAN	UP000000803_7227.fasta	sp|P00522|ABL_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|P00533|EGFR_HUMAN	UP000000589_10090.fasta	sp|Q01279|EGFR_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P00540|MOS_HUMAN	UP000000589_10090.fasta	sp|P00536|MOS_MOUSE	1.27499019604e-180	0.909034082551	Ortholog
UP000005640_9606.fasta	sp|P04049|RAF1_HUMAN	UP000000589_10090.fasta	sp|Q99N57|RAF1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P04626|ERBB2_HUMAN	UP000000589_10090.fasta	sp|P70424|ERBB2_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P04629|NTRK1_HUMAN	UP000000589_10090.fasta	sp|Q3UFB7|NTRK1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P05129|KPCG_HUMAN	UP000000589_10090.fasta	sp|P63318|KPCG_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P05771|KPCB_HUMAN	UP000000589_10090.fasta	sp|P68404|KPCB_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P06213|INSR_HUMAN	UP000000589_10090.fasta	sp|P15208|INSR_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P06239|LCK_HUMAN	UP000000589_10090.fasta	sp|P06240|LCK_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P06241|FYN_HUMAN	UP000000589_10090.fasta	sp|P39688|FYN_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P06493|CDK1_HUMAN	UP000000589_10090.fasta	sp|P11440|CDK1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P06493|CDK1_HUMAN	UP000000803_7227.fasta	sp|P23572|CDK1_DROME	5.95e-166	1.16758675231	Ortholog
UP000005640_9606.fasta	sp|P07332|FES_HUMAN	UP000000589_10090.fasta	sp|P16879|FES_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P07333|CSF1R_HUMAN	UP000000589_10090.fasta	sp|P09581|CSF1R_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P07947|YES_HUMAN	UP000000589_10090.fasta	sp|Q04736|YES_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P07948|LYN_HUMAN	UP000000589_10090.fasta	sp|P25911|LYN_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P07949|RET_HUMAN	UP000000589_10090.fasta	sp|P35546|RET_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P07949|RET_HUMAN	UP000000803_7227.fasta	tr|Q7KT06|Q7KT06_DROME	1.11105355406e-125	0.8830051018	Ortholog
UP000005640_9606.fasta	sp|P08069|IGF1R_HUMAN	UP000000589_10090.fasta	sp|Q60751|IGF1R_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P08069|IGF1R_HUMAN	UP000000803_7227.fasta	sp|P09208|INSR_DROME	1e-200	1.41332527025	Ortholog
UP000005640_9606.fasta	sp|P08581|MET_HUMAN	UP000000589_10090.fasta	sp|P16056|MET_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P08631|HCK_HUMAN	UP000000589_10090.fasta	sp|P08103|HCK_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P08922|ROS1_HUMAN	UP000000589_10090.fasta	sp|Q78DX7|ROS1_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P08922|ROS1_HUMAN	UP000000803_7227.fasta	sp|P13368|7LESS_DROME	2.72910241655e-93	0.654115061418	Ortholog
UP000005640_9606.fasta	sp|P09619|PGFRB_HUMAN	UP000000589_10090.fasta	sp|P05622|PGFRB_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P09769|FGR_HUMAN	UP000000589_10090.fasta	sp|P14234|FGR_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P0C1S8|WEE2_HUMAN	UP000000589_10090.fasta	sp|Q66JT0|WEE2_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P0C263|SBK2_HUMAN	UP000000589_10090.fasta	sp|P0C5K1|SBK2_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P0C264|SBK3_HUMAN	UP000000589_10090.fasta	sp|P0C5K0|SBK3_MOUSE	1.00724376394e-163	0.823647813843	Ortholog
UP000005640_9606.fasta	sp|P10398|ARAF_HUMAN	UP000000589_10090.fasta	sp|P04627|ARAF_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P10721|KIT_HUMAN	UP000000589_10090.fasta	sp|P05532|KIT_MOUSE	1e-200	1.01063024955	Ortholog
UP000005640_9606.fasta	sp|P11309|PIM1_HUMAN	UP000000589_10090.fasta	sp|P06803|PIM1_MOUSE	1e-200	1.01063024955	Ortholog
